Year,Month,Day,Hour,31297_Bike_Count
2019,7,1,0,69
2019,7,1,1,26
2019,7,1,2,20
2019,7,1,3,8
2019,7,1,4,22
2019,7,1,5,165
2019,7,1,6,633
2019,7,1,7,1593
2019,7,1,8,1496
2019,7,1,9,1065
2019,7,1,10,875
2019,7,1,11,928
2019,7,1,12,1023
2019,7,1,13,1191
2019,7,1,14,1127
2019,7,1,15,1439
2019,7,1,16,1781
2019,7,1,17,1842
2019,7,1,18,1641
2019,7,1,19,1234
2019,7,1,20,770
2019,7,1,21,578
2019,7,1,22,464
2019,7,1,23,231
2019,7,2,0,112
2019,7,2,1,35
2019,7,2,2,21
2019,7,2,3,15
2019,7,2,4,16
2019,7,2,5,161
2019,7,2,6,614
2019,7,2,7,1730
2019,7,2,8,1561
2019,7,2,9,1102
2019,7,2,10,831
2019,7,2,11,890
2019,7,2,12,1102
2019,7,2,13,1239
2019,7,2,14,1203
2019,7,2,15,1458
2019,7,2,16,1771
2019,7,2,17,1872
2019,7,2,18,1669
2019,7,2,19,1313
2019,7,2,20,770
2019,7,2,21,682
2019,7,2,22,586
2019,7,2,23,285
2019,7,3,0,129
2019,7,3,1,55
2019,7,3,2,11
2019,7,3,3,10
2019,7,3,4,22
2019,7,3,5,153
2019,7,3,6,613
2019,7,3,7,1737
2019,7,3,8,1597
2019,7,3,9,1072
2019,7,3,10,970
2019,7,3,11,1015
2019,7,3,12,1203
2019,7,3,13,1319
2019,7,3,14,1228
2019,7,3,15,1386
2019,7,3,16,1721
2019,7,3,17,1983
2019,7,3,18,1629
2019,7,3,19,1386
2019,7,3,20,919
2019,7,3,21,703
2019,7,3,22,547
2019,7,3,23,353
2019,7,4,0,185
2019,7,4,1,76
2019,7,4,2,41
2019,7,4,3,28
2019,7,4,4,23
2019,7,4,5,148
2019,7,4,6,577
2019,7,4,7,1710
2019,7,4,8,1532
2019,7,4,9,971
2019,7,4,10,802
2019,7,4,11,912
2019,7,4,12,1073
2019,7,4,13,1217
2019,7,4,14,1277
2019,7,4,15,1502
2019,7,4,16,1825
2019,7,4,17,1858
2019,7,4,18,1674
2019,7,4,19,1294
2019,7,4,20,861
2019,7,4,21,689
2019,7,4,22,563
2019,7,4,23,286
2019,7,5,0,134
2019,7,5,1,69
2019,7,5,2,34
2019,7,5,3,11
2019,7,5,4,22
2019,7,5,5,142
2019,7,5,6,514
2019,7,5,7,1524
2019,7,5,8,1369
2019,7,5,9,1027
2019,7,5,10,908
2019,7,5,11,968
2019,7,5,12,1275
2019,7,5,13,1353
2019,7,5,14,1462
2019,7,5,15,1491
2019,7,5,16,1525
2019,7,5,17,1635
2019,7,5,18,1507
2019,7,5,19,1196
2019,7,5,20,877
2019,7,5,21,622
2019,7,5,22,700
2019,7,5,23,569
2019,7,6,0,377
2019,7,6,1,272
2019,7,6,2,173
2019,7,6,3,110
2019,7,6,4,82
2019,7,6,5,86
2019,7,6,6,102
2019,7,6,7,201
2019,7,6,8,359
2019,7,6,9,615
2019,7,6,10,934
2019,7,6,11,1017
2019,7,6,12,1090
2019,7,6,13,1134
2019,7,6,14,1382
2019,7,6,15,478
2019,7,6,16,279
2019,7,6,17,237
2019,7,6,18,677
2019,7,6,19,506
2019,7,6,20,445
2019,7,6,21,304
2019,7,6,22,308
2019,7,6,23,291
2019,7,7,0,183
2019,7,7,1,166
2019,7,7,2,120
2019,7,7,3,98
2019,7,7,4,60
2019,7,7,5,61
2019,7,7,6,42
2019,7,7,7,90
2019,7,7,8,153
2019,7,7,9,287
2019,7,7,10,428
2019,7,7,11,381
2019,7,7,12,417
2019,7,7,13,558
2019,7,7,14,657
2019,7,7,15,700
2019,7,7,16,755
2019,7,7,17,872
2019,7,7,18,757
2019,7,7,19,595
2019,7,7,20,456
2019,7,7,21,395
2019,7,7,22,282
2019,7,7,23,104
2019,7,8,0,72
2019,7,8,1,25
2019,7,8,2,14
2019,7,8,3,7
2019,7,8,4,28
2019,7,8,5,170
2019,7,8,6,538
2019,7,8,7,1681
2019,7,8,8,1399
2019,7,8,9,981
2019,7,8,10,798
2019,7,8,11,918
2019,7,8,12,1118
2019,7,8,13,1070
2019,7,8,14,1074
2019,7,8,15,1298
2019,7,8,16,1478
2019,7,8,17,1653
2019,7,8,18,1406
2019,7,8,19,960
2019,7,8,20,629
2019,7,8,21,479
2019,7,8,22,393
2019,7,8,23,199
2019,7,9,0,102
2019,7,9,1,22
2019,7,9,2,21
2019,7,9,3,9
2019,7,9,4,14
2019,7,9,5,152
2019,7,9,6,548
2019,7,9,7,1648
2019,7,9,8,1462
2019,7,9,9,1058
2019,7,9,10,864
2019,7,9,11,954
2019,7,9,12,993
2019,7,9,13,1234
2019,7,9,14,1116
2019,7,9,15,1353
2019,7,9,16,1675
2019,7,9,17,1774
2019,7,9,18,1613
2019,7,9,19,1160
2019,7,9,20,767
2019,7,9,21,549
2019,7,9,22,497
2019,7,9,23,219
2019,7,10,0,134
2019,7,10,1,69
2019,7,10,2,35
2019,7,10,3,10
2019,7,10,4,17
2019,7,10,5,137
2019,7,10,6,508
2019,7,10,7,1695
2019,7,10,8,1520
2019,7,10,9,1022
2019,7,10,10,912
2019,7,10,11,1010
2019,7,10,12,1176
2019,7,10,13,1342
2019,7,10,14,1247
2019,7,10,15,1395
2019,7,10,16,1654
2019,7,10,17,1752
2019,7,10,18,1552
2019,7,10,19,1171
2019,7,10,20,735
2019,7,10,21,574
2019,7,10,22,464
2019,7,10,23,244
2019,7,11,0,116
2019,7,11,1,88
2019,7,11,2,52
2019,7,11,3,49
2019,7,11,4,30
2019,7,11,5,124
2019,7,11,6,450
2019,7,11,7,1083
2019,7,11,8,1290
2019,7,11,9,843
2019,7,11,10,553
2019,7,11,11,533
2019,7,11,12,796
2019,7,11,13,861
2019,7,11,14,866
2019,7,11,15,1034
2019,7,11,16,1287
2019,7,11,17,1339
2019,7,11,18,607
2019,7,11,19,888
2019,7,11,20,482
2019,7,11,21,400
2019,7,11,22,339
2019,7,11,23,219
2019,7,12,0,151
2019,7,12,1,67
2019,7,12,2,63
2019,7,12,3,25
2019,7,12,4,21
2019,7,12,5,110
2019,7,12,6,374
2019,7,12,7,1147
2019,7,12,8,1171
2019,7,12,9,591
2019,7,12,10,712
2019,7,12,11,769
2019,7,12,12,902
2019,7,12,13,1059
2019,7,12,14,1076
2019,7,12,15,978
2019,7,12,16,746
2019,7,12,17,914
2019,7,12,18,809
2019,7,12,19,766
2019,7,12,20,591
2019,7,12,21,418
2019,7,12,22,393
2019,7,12,23,390
2019,7,13,0,294
2019,7,13,1,229
2019,7,13,2,167
2019,7,13,3,89
2019,7,13,4,67
2019,7,13,5,67
2019,7,13,6,86
2019,7,13,7,143
2019,7,13,8,281
2019,7,13,9,496
2019,7,13,10,684
2019,7,13,11,850
2019,7,13,12,906
2019,7,13,13,951
2019,7,13,14,953
2019,7,13,15,988
2019,7,13,16,868
2019,7,13,17,961
2019,7,13,18,884
2019,7,13,19,779
2019,7,13,20,613
2019,7,13,21,485
2019,7,13,22,409
2019,7,13,23,340
2019,7,14,0,334
2019,7,14,1,239
2019,7,14,2,136
2019,7,14,3,113
2019,7,14,4,72
2019,7,14,5,63
2019,7,14,6,60
2019,7,14,7,75
2019,7,14,8,130
2019,7,14,9,326
2019,7,14,10,433
2019,7,14,11,491
2019,7,14,12,525
2019,7,14,13,635
2019,7,14,14,717
2019,7,14,15,791
2019,7,14,16,721
2019,7,14,17,814
2019,7,14,18,711
2019,7,14,19,551
2019,7,14,20,495
2019,7,14,21,332
2019,7,14,22,282
2019,7,14,23,104
2019,7,15,0,57
2019,7,15,1,38
2019,7,15,2,10
2019,7,15,3,11
2019,7,15,4,22
2019,7,15,5,120
2019,7,15,6,465
2019,7,15,7,1073
2019,7,15,8,1153
2019,7,15,9,817
2019,7,15,10,781
2019,7,15,11,833
2019,7,15,12,866
2019,7,15,13,934
2019,7,15,14,1040
2019,7,15,15,1040
2019,7,15,16,1392
2019,7,15,17,1574
2019,7,15,18,1305
2019,7,15,19,889
2019,7,15,20,576
2019,7,15,21,441
2019,7,15,22,325
2019,7,15,23,189
